algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,K,n_seeds_tried,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,display_name
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.08938774099806324,59,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_krylov_m30,1,1,1.5387122539978009,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
MS_Degree(K=30),mc_n300_p005_k15_001,maximum_clique,15.0,0.12548778599739308,221,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_Degree_K30,1,1,1.9942766199965263,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.5928080779995071,59,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_cheb_d50,1,1,1.9510349749980378,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.12190416100202128,81,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_krylov_m30,1,1,1.7055441769989557,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.4884054800058948,81,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_cheb_d50,1,1,2.094772929995088,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.20517537099658512,186,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_krylov_m30,1,1,1.5081876730037038,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.278163119997771,139,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_krylov_m30,1,1,2.045366963997367,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.5651311459951103,139,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_cheb_d50,1,1,2.0606256630053394,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
ClassicalClique,mc_n300_p005_k15_002,maximum_clique,15.0,0.010342662004404701,15,15,15,1.0,False,"[228, 4, 135, 44, 108, 141, 207, 239, 176, 19, 214, 153, 285, 158, 191]",0,,mc_n300_p005_k15,ClassicalClique,0,0,1.69275168999593,300,external,ClassicalClique,N/A,ClassicalClique
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.7421447390006506,186,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_cheb_d50,1,1,2.45716704899678,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
MS_Random(K=10),mc_n300_p005_k15_002,maximum_clique,15.0,0.009847337001701817,33,15,15,1.0,False,"[228, 4, 135, 108, 141, 44, 207, 239, 176, 19, 214, 153, 285, 158, 191]",10,10.0,mc_n300_p005_k15,MS_Random_K10,0,0,1.2131795669993153,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=5),mc_n300_p005_k15_002,maximum_clique,15.0,0.021928535999904852,70,15,15,1.0,False,"[228, 4, 135, 44, 108, 141, 207, 239, 176, 19, 214, 153, 285, 158, 191]",5,5.0,mc_n300_p005_k15,MS_Degree_K5,0,0,1.4898604629997863,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=5),mc_n300_p005_k15_002,maximum_clique,3.0,0.0060190789954504,10,3,15,0.0,False,"[226, 212, 189]",5,5.0,mc_n300_p005_k15,MS_Random_K5,0,0,1.621548189999885,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k15_002,maximum_clique,15.0,0.026851754999370314,140,15,15,1.0,False,"[228, 4, 135, 44, 108, 141, 207, 239, 176, 19, 214, 153, 285, 158, 191]",10,10.0,mc_n300_p005_k15,MS_Degree_K10,0,0,1.3830711209957371,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k15_002,maximum_clique,15.0,0.20477772600133903,66,15,15,1.0,False,"[228, 4, 135, 108, 141, 44, 207, 239, 176, 19, 214, 153, 285, 158, 191]",20,20.0,mc_n300_p005_k15,MS_Random_K20,0,0,1.494478608998179,300,external,MS_Random,N/A,MS_Random
